Model,Accuracy,Precision (Macro),Recall (Macro),Macro F1,Training Time (s),Parameters
CNN + Voting (Baseline),0.40476190476190477,0.5234560490863013,0.40476190476190477,0.3440439284446894,0.0,0
CNN + Mean Prob (Baseline),0.4523809523809524,0.5252546613974354,0.45238095238095244,0.3626556441061876,0.0,0
CNN + LSTM,0.969047619047619,0.96985470020901,0.9690476190476192,0.9691955061297021,13.614248275756836,49863
CNN + GRU,0.9714285714285714,0.97194821558189,0.9714285714285714,0.9714987102454729,10.056045532226562,37703
